Year,Goals,Shots,min_played
2020,5.00,39.00,208.41
2020,2.00,41.00,197.42
2020,8.00,46.00,210.24
2020,7.00,35.00,186.80
2020,4.00,46.00,170.20
2019,5.00,44.00,209.77
2019,8.00,58.00,205.92
2019,4.00,47.00,211.32
2019,6.00,45.00,198.60
2019,5.00,45.00,195.27
2019,14.00,45.00,215.08
2019,3.00,45.00,218.00
2018,6.00,42.00,204.39
2018,9.00,37.00,211.42
2018,6.00,43.00,212.58
2018,7.00,40.00,205.51
2018,8.00,43.00,205.51
2018,6.00,41.00,197.19
2018,3.00,46.00,208.71
2018,5.00,41.00,219.55
2017,6.00,49.00,203.28
2017,3.00,41.00,197.47
2017,8.00,48.00,191.23
2017,3.00,38.00,210.65
2017,4.00,36.00,201.21
2017,6.00,51.00,198.25
2017,6.00,46.00,207.30
2017,7.00,50.00,203.48
2017,10.00,46.00,216.94
2017,4.00,38.00,201.08
2016,6.00,38.00,187.30
2016,6.00,41.00,181.79
2016,5.00,37.00,184.81
2016,2.00,36.00,195.33
2016,5.00,36.00,173.03
2016,5.00,37.00,175.10
2016,5.00,28.00,138.65
2016,1.00,30.00,188.05
2016,3.00,57.00,192.96
2016,4.00,30.00,177.94
2016,4.00,38.00,199.07
2015,6.00,45.00,188.49
2015,3.00,54.00,209.56
2015,4.00,45.00,206.15
2015,5.00,45.00,203.63
2015,9.00,54.00,201.06
2015,8.00,50.00,200.73
2015,9.00,64.00,206.82
2015,2.00,38.00,194.24
2015,5.00,42.00,198.65
2015,6.00,51.00,201.62
2014,7.00,55.00,213.79
2014,1.00,41.00,208.63
2014,6.00,46.00,205.19
2014,3.00,52.00,202.22
2014,7.00,49.00,199.43
2014,8.00,47.00,196.21
2014,8.00,55.00,205.87
2014,9.00,54.00,205.94
2014,6.00,46.00,198.29
2014,6.00,41.00,198.74
2013,3.00,41.00,198.14
2013,10.00,67.00,204.83
2013,8.00,49.00,208.71
2013,7.00,45.00,212.03
2013,8.00,56.00,212.56
2013,4.00,64.00,202.69
2013,6.00,51.00,210.49
2013,5.00,43.00,193.24
2013,5.00,40.00,195.42
2012,3.00,29.00,207.45
2012,5.00,41.00,203.48
2012,5.00,44.00,195.65
2012,7.00,42.00,203.95
2012,13.00,53.00,214.87
2012,8.00,49.00,203.71
2011,2.00,38.00,205.64
2011,6.00,38.00,181.01
2011,3.00,37.00,186.24
2011,3.00,43.00,193.67
2011,6.00,43.00,202.54
2011,6.00,36.00,205.27
2011,4.00,46.00,200.33
2011,7.00,45.00,191.42
2011,6.00,38.00,216.28
2011,3.00,37.00,209.76